control_key,status,observed,source,line,tag,id,text,onclick,panel
#btnMyApprovalsRefresh,INTERACTED_IN_PASSING_TEST,True,static/index.html,1042,BUTTON,btnMyApprovalsRefresh,,"loadMyAccessRequests(true,{pendingOnly:true})",
#btnNewChat,INTERACTED_IN_PASSING_TEST,True,static/index.html,207,BUTTON,btnNewChat,,,
#btnNewFile,INTERACTED_IN_PASSING_TEST,True,static/index.html,1864,BUTTON,btnNewFile,,promptNewFile(),
#btnNewFolder,INTERACTED_IN_PASSING_TEST,True,static/index.html,1865,BUTTON,btnNewFolder,,promptNewFolder(),
#btnOpenInBrowser,NOT_INTERACTED,False,static/index.html,1888,BUTTON,btnOpenInBrowser,,openInBrowser(),
#btnPauseTaskDetail,INTERACTED_IN_PASSING_TEST,True,static/index.html,869,BUTTON,btnPauseTaskDetail,,pauseCurrentCron(),
#btnRealtimeVoice,INTERACTED_IN_PASSING_TEST,True,static/index.html,647,BUTTON,btnRealtimeVoice,,,
#btnRefreshPanel,NOT_INTERACTED,True,static/index.html,1866,BUTTON,btnRefreshPanel,,if(S.session)refreshWorkspacePanel(),
#btnRegisterPasskey,INTERACTED_IN_PASSING_TEST,True,static/index.html,1774,BUTTON,btnRegisterPasskey,,registerPasskey(),
#btnReload,NOT_INTERACTED,True,static/index.html,144,BUTTON,btnReload,,window.location.reload(),
#btnRenderMarkdownAnyway,NOT_INTERACTED,False,static/index.html,1889,BUTTON,btnRenderMarkdownAnyway,,forceRenderMarkdownPreview(),
#btnResetAuxModels,INTERACTED_IN_PASSING_TEST,True,static/index.html,1319,BUTTON,btnResetAuxModels,,,
#btnRestartGateway,NOT_INTERACTED,False,static/index.html,511,BUTTON,btnRestartGateway,,restartGatewayService(),
#btnResumeTaskDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,870,BUTTON,btnResumeTaskDetail,,resumeCurrentCron(),
#btnRunTaskDetail,INTERACTED_IN_PASSING_TEST,True,static/index.html,868,BUTTON,btnRunTaskDetail,,runCurrentCron(),
#btnSaveMemoryDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,854,BUTTON,btnSaveMemoryDetail,,submitMemorySave(),
#btnSaveProfileDetail,NOT_INTERACTED,False,static/index.html,961,BUTTON,btnSaveProfileDetail,,saveProfileForm(),
#btnSaveSkillDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,838,BUTTON,btnSaveSkillDetail,,saveSkillForm(),
#btnSaveTaskDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,875,BUTTON,btnSaveTaskDetail,,saveCronForm(),
#btnSaveWorkspaceDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,944,BUTTON,btnSaveWorkspaceDetail,,saveWorkspaceForm(),
#btnSavedPrompts,INTERACTED_IN_PASSING_TEST,True,static/index.html,644,BUTTON,btnSavedPrompts,,toggleSavedPromptsPopup(),
#btnSend,INTERACTED_IN_PASSING_TEST,True,static/index.html,771,BUTTON,btnSend,,,
#btnShareSession,INTERACTED_IN_PASSING_TEST,True,static/index.html,1095,BUTTON,btnShareSession,,,
#btnShutdownServer,NOT_INTERACTED,True,static/index.html,1769,BUTTON,btnShutdownServer,,shutdownServer(),
#btnSignOut,INTERACTED_IN_PASSING_TEST,True,static/index.html,1765,BUTTON,btnSignOut,,signOut(),
#btnSplitExit,INTERACTED_IN_PASSING_TEST,True,static/split.js,121,BUTTON,btnSplitExit,,,
#btnSplitView,INTERACTED_IN_PASSING_TEST,True,static/index.html,138,BUTTON,btnSplitView,,toggleSplitView(),
#btnStaleClientRefresh,NOT_INTERACTED,False,static/index.html,460,BUTTON,btnStaleClientRefresh,,hardRefreshWebUIClient(),
#btnStopSharingSession,INTERACTED_IN_PASSING_TEST,True,static/index.html,1096,BUTTON,btnStopSharingSession,,,
#btnTerminalClear,INTERACTED_IN_PASSING_TEST,True,static/index.html,584,BUTTON,btnTerminalClear,,clearComposerTerminal(),
#btnTerminalClose,INTERACTED_IN_PASSING_TEST,True,static/index.html,588,BUTTON,btnTerminalClose,,closeComposerTerminal(),
#btnTerminalCollapse,INTERACTED_IN_PASSING_TEST,True,static/index.html,587,BUTTON,btnTerminalCollapse,,collapseComposerTerminal(),
#btnTerminalCopy,NOT_INTERACTED,True,static/index.html,585,BUTTON,btnTerminalCopy,,copyComposerTerminalOutput(),
#btnTerminalDockClose,NOT_INTERACTED,False,static/index.html,604,BUTTON,btnTerminalDockClose,,closeComposerTerminal(),
#btnTerminalExpand,INTERACTED_IN_PASSING_TEST,False,static/index.html,603,BUTTON,btnTerminalExpand,,expandComposerTerminal(),
#btnTerminalRestart,INTERACTED_IN_PASSING_TEST,True,static/index.html,586,BUTTON,btnTerminalRestart,,restartComposerTerminal(),
#btnTitlebarNewChat,INTERACTED_IN_PASSING_TEST,True,static/index.html,132,BUTTON,btnTitlebarNewChat,,$('btnNewChat') && $('btnNewChat').click(),
#btnUpDir,INTERACTED_IN_PASSING_TEST,True,static/index.html,1863,BUTTON,btnUpDir,,navigateUp(),
#btnUploadWorkspace,INTERACTED_IN_PASSING_TEST,True,static/index.html,1867,BUTTON,btnUploadWorkspace,,triggerWorkspaceUpload(),
#btnVoiceMode,NOT_INTERACTED,False,static/index.html,656,BUTTON,btnVoiceMode,,,
#btnWorkspacePanelEdgeToggle,INTERACTED_IN_PASSING_TEST,True,static/index.html,1854,BUTTON,btnWorkspacePanelEdgeToggle,,toggleWorkspacePanel(true),
#btnWorkspacePanelToggle,INTERACTED_IN_PASSING_TEST,True,static/index.html,681,BUTTON,btnWorkspacePanelToggle,,toggleWorkspacePanel(),
#btnWorkspacePrefs,INTERACTED_IN_PASSING_TEST,True,static/index.html,1868,BUTTON,btnWorkspacePrefs,,toggleWorkspacePrefsMenu(event),
#builderBack,INTERACTED_IN_PASSING_TEST,False,static/bot-builder.js,108,BUTTON,builderBack,,,
#builderDescription,INTERACTED_IN_PASSING_TEST,True,browser,,TEXTAREA,builderDescription,Research bot for QA,,
#builderMemory,INTERACTED_IN_PASSING_TEST,True,browser,,TEXTAREA,builderMemory,,,
#builderName,INTERACTED_IN_PASSING_TEST,True,browser,,INPUT,builderName,,,
#builderNext,INTERACTED_IN_PASSING_TEST,True,static/bot-builder.js,108,BUTTON,builderNext,,,
#builderPhoto,NOT_INTERACTED,True,static/bot-builder.js,81,INPUT,builderPhoto,,,
#builderPrompt,INTERACTED_IN_PASSING_TEST,True,browser,,TEXTAREA,builderPrompt,QA_BOT_RESEARCH. You are the Research bot. Answer briefly.,,
#builderTab0,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,builderTab0,Identity & photo,,
#builderTab1,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,builderTab1,Instructions,,
#builderTab2,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,builderTab2,Connections & tools,,
#builderTab3,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,builderTab3,Access,,
#builderTab4,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,builderTab4,Memory & knowledge,,
#builderTab5,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,builderTab5,Skills,,
#builderTitle,INTERACTED_IN_PASSING_TEST,True,browser,,INPUT,builderTitle,,,
#capacityCooldownSeconds,INTERACTED_IN_PASSING_TEST,True,static/index.html,1724,INPUT,capacityCooldownSeconds,,,
#capacityDestination,INTERACTED_IN_PASSING_TEST,True,static/index.html,1728,INPUT,capacityDestination,,,
#capacityPollSeconds,INTERACTED_IN_PASSING_TEST,True,static/index.html,1722,INPUT,capacityPollSeconds,,,
#capacityThresholds,INTERACTED_IN_PASSING_TEST,True,static/index.html,1726,INPUT,capacityThresholds,,,
#chatBotRosterToggle,INTERACTED_IN_PASSING_TEST,True,browser,,BUTTON,chatBotRosterToggle,Hide bots,,
#chatModeNormal,INTERACTED_IN_PASSING_TEST,True,static/index.html,450,BUTTON,chatModeNormal,,setChatMode('normal'),
#chatModeSuper,INTERACTED_IN_PASSING_TEST,True,static/index.html,451,BUTTON,chatModeSuper,,setChatMode('super'),
#clarifyCollapse,NOT_INTERACTED,False,static/index.html,563,BUTTON,clarifyCollapse,,toggleClarifyCardCollapsed(),
#clarifyInput,NOT_INTERACTED,False,static/index.html,568,INPUT,clarifyInput,,,
#clarifySubmit,NOT_INTERACTED,False,static/index.html,569,BUTTON,clarifySubmit,,respondClarify(),
#codexOAuthBtn,NOT_INTERACTED,False,static/onboarding.js,332,BUTTON,codexOAuthBtn,,startCodexOAuth(),
#composerMobileConfigBtn,NOT_INTERACTED,True,static/index.html,690,BUTTON,composerMobileConfigBtn,,toggleMobileComposerConfig(),
#composerMobileCtxCompressBtn,NOT_INTERACTED,False,static/index.html,800,BUTTON,composerMobileCtxCompressBtn,,,
#composerMobileModelAction,NOT_INTERACTED,False,static/index.html,780,BUTTON,composerMobileModelAction,,toggleModelDropdown(),
#composerMobileQuotaAction,NOT_INTERACTED,False,static/index.html,784,BUTTON,composerMobileQuotaAction,,switchPanel('settings');switchSettingsSection('providers'),
#composerMobileReasoningAction,NOT_INTERACTED,False,static/index.html,788,BUTTON,composerMobileReasoningAction,,toggleReasoningDropdown(),
#composerMobileWorkspaceAction,NOT_INTERACTED,False,static/index.html,776,BUTTON,composerMobileWorkspaceAction,,toggleComposerWsDropdown(),
#composerModelChip,NOT_INTERACTED,True,static/index.html,694,BUTTON,composerModelChip,,toggleModelDropdown(),
#composerPeopleChip,INTERACTED_IN_PASSING_TEST,True,static/index.html,733,BUTTON,composerPeopleChip,,openGroupPeoplePicker(),
#composerReasoningChip,NOT_INTERACTED,True,static/index.html,726,BUTTON,composerReasoningChip,,toggleReasoningDropdown(),
#composerToolsetsChip,NOT_INTERACTED,False,static/index.html,739,BUTTON,composerToolsetsChip,,toggleToolsetsDropdown(),
#composerWorkspaceChip,NOT_INTERACTED,True,static/index.html,684,BUTTON,composerWorkspaceChip,,toggleComposerWsDropdown(),
#cron-default%00010c5145f442,INTERACTED_IN_PASSING_TEST,True,browser,,DIV,cron-default%00010c5145f442,"🤖
          QA Cron lifecycle 1788933995946 edited
          default
          active",,
#cronFormDeliver,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1671,SELECT,cronFormDeliver,,,
#cronFormModel,NOT_INTERACTED,False,static/panels.js,1684,SELECT,cronFormModel,,,
#cronFormName,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1622,INPUT,cronFormName,,,
#cronFormProfile,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1677,SELECT,cronFormProfile,,,
#cronFormPrompt,INTERACTED_IN_PASSING_TEST,False,static/panels.js,1598,TEXTAREA,cronFormPrompt,,,
#cronFormSchedule,NOT_INTERACTED,False,static/panels.js,1663,INPUT,cronFormSchedule,,,
#cronFormScheduleMinute,NOT_INTERACTED,False,static/panels.js,1655,INPUT,cronFormScheduleMinute,,,
